Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
May-08,930,1047.95,874.9,1029.25,8617359,199011,8322199800,3630466,42.13,173.05,99.25
Jun-08,1028,1054,800,858.8,6852111,148387,6245920835,3363542,49.09,254,-169.2
Jul-08,858.8,890,719.1,832.55,7244532,222069,5853957205,2693460,37.18,170.9,-26.25
Aug-08,829,870,782.5,812.45,3981085,123631,3312974143,1312095,32.96,87.5,-16.55
Sep-08,810,875,575,662.75,5566647,157389,4156181125,2285584,41.06,300,-147.25
Oct-08,670,682.8,418,537.45,11072453,282089,5960064529,3975706,35.91,264.8,-132.55
Nov-08,560,570,456.1,558.05,8026824,243983,4138118924,1684262,20.98,113.9,-1.95
Dec-08,569,591.7,460,478.1,8023516,233395,4099407519,2228394,27.77,131.7,-90.9
Jan-09,485,556.9,466.2,511.95,7870045,190437,4012034946,2411144,30.64,90.7,26.95
Feb-09,507,526.8,456,480.6,4065255,110698,2019913721,1207859,29.71,70.8,-26.4
Mar-09,475,585,439.15,540,5043939,135358,2561761661,1280688,25.39,145.85,65
Apr-09,505.25,627.2,505.25,623.2,6718394,161202,3885723552,2233127,33.24,121.95,117.95
May-09,600,794.7,600,699.75,7272937,179199,4713758539,2201032,30.26,194.7,99.75
Jun-09,680,805,355.25,389.7,9524223,193318,5262972950,3841484,40.33,449.75,-290.3
Jul-09,380,540.1,368,526.4,19098752,293235,8889993819,7174263,37.56,172.1,146.4
Aug-09,527,559.9,435.55,527,12847919,206866,6791323382,4513699,35.13,124.35,0
Sep-09,534,621.9,519,619.35,12155061,172527,6845647335,4968435,40.88,102.9,85.35
Oct-09,620,656.85,556.6,626.2,11336495,195951,6932553328,4788200,42.24,100.25,6.2
Nov-09,625,711.4,602.25,687.2,7145393,137803,4709170627,2944377,41.21,109.15,62.2
Dec-09,696,755.95,677.35,749.75,5383776,108171,3852008105,2160683,40.13,78.6,53.75
Jan-10,750.7,816.4,696.6,735.45,8441864,179482,6421688095,2892210,34.26,119.8,-15.25
Feb-10,735.45,777,709.6,761,3454091,87803,2575116532,1039434,30.09,67.4,25.55
Mar-10,763.1,844,755.85,780.8,5917109,111507,4692600993,3068326,51.86,88.15,17.7
Apr-10,786.9,834.9,730,766,6482257,150810,5180778271,2205749,34.03,104.9,-20.9
May-10,756,777,692,742,4366667,107798,3250226610,1868816,42.8,85,-14
Jun-10,742,797.45,732.9,751.15,3263975,83362,2497462035,1342999,41.15,64.55,9.15
Jul-10,748,858.9,725.5,841.1,7957621,148570,6489517158,4366541,54.87,133.4,93.1
Aug-10,846,883.4,829.7,843.85,4656158,86574,4014179340,2609507,56.04,53.7,-2.15
Sep-10,844,1006,835,922.55,6040462,114311,5417253074,3153995,52.21,171,78.55
Oct-10,928.8,1069.6,922.55,1051.8,6164277,144909,6100907655,1930081,31.31,147.05,123
Nov-10,1053,1107,1002,1076.7,2676651,82569,2823005503,1073661,40.11,105,23.7
Dec-10,1067.55,1179,1050,1165.05,3272889,98321,3658343918,1431222,43.73,129,97.5
Jan-11,1165,1221,1087.3,1157.15,3987730,149256,4657145463,1207942,30.29,133.7,-7.85
Feb-11,1157.2,1195.95,1056.1,1112.95,3916850,150460,4394532714,1071504,27.36,139.85,-44.25
